,ID,Language,IdPredecessor,PersonNumber,PersonIdCode,Active,FirstName,LastName,GenderAsString,Canton,CantonName,CantonAbbreviation,Council,CouncilName,CouncilAbbreviation,ParlGroupNumber,ParlGroupName,ParlGroupAbbreviation,ParlGroupFunction,ParlGroupFunctionText,Party,PartyName,PartyAbbreviation,MilitaryRank,MilitaryRankText,MaritalStatus,MaritalStatusText,Nationality,BirthPlace_City,BirthPlace_Canton,Mandates,AdditionalMandate,AdditionalActivity,OfficialName,DateJoining,DateLeaving,DateElection,DateOath,DateResignation,Modified,NumberOfChildren,Citizenship,DateOfBirth,DateOfDeath
0,1,FR,,1,2200,false,Pierre,Aguet,m,22,Vaud,VD,1,Conseil national,CN,2,Groupe socialiste,S,1,Membre,12,Parti socialiste suisse,PSS,5,Fourrier,,,,Pompaples,,"Conseiller communal de 1965 à 1982, Conseiller municipal depuis 1982, Législatif cantonal: Député de 1974 à 1987","Prés. Féd. Romande des Sociolistes ch., Prés. OSEO Vaudoise",Réducteur TSV de 1971 à 1983,Aguet,1995-12-04T00:00:00,1999-12-05T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,1999-12-05T00:00:00,2018-10-05T13:20:48.477,,"Sullens (VD),Lutry (VD)",1938-03-02T00:00:00,
1,2,FR,,2,2002,false,Heinz,Allenspach,m,1,Zurich,ZH,1,Conseil national,CN,1,Groupe libéral-radical,RL,1,Membre,15,PLR.Les Libéraux-Radicaux,PLR,,,,,,,,,,,Allenspach,1979-11-26T00:00:00,1995-12-03T00:00:00,1979-11-26T00:00:00,1979-11-26T00:00:00,1995-12-03T00:00:00,2022-09-23T14:20:47.21,,"Kreuzlingen (TG),Fällanden (ZH)",1928-02-22T00:00:00,2022-09-16T00:00:00
2,6,FR,,6,2004,false,Manfred,Aregger,m,3,Lucerne,LU,1,Conseil national,CN,1,Groupe libéral-radical,RL,1,Membre,15,PLR.Les Libéraux-Radicaux,PLR,7,Adjudant sous-officier,,,Suisse,Hasle,,Grossrat 1967 bis 1983 (Präsident 1977),,"Zentralpräsident Schweiz. Skliverband 1985 bis 1989, Präsident Golfclub Flühli-Sörenberg seit 1995",Aregger,1995-12-04T00:00:00,1999-12-05T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,1999-12-05T00:00:00,2018-10-05T13:22:33.513,,Hasle (LU),1931-01-27T00:00:00,
3,7,FR,,7,2005,false,Geneviève,Aubry,f,2,Berne,BE,1,Conseil national,CN,1,Groupe libéral-radical,RL,1,Membre,15,PLR.Les Libéraux-Radicaux,PLR,,,,,,,,,,,Aubry Geneviève,1979-11-26T00:00:00,1995-12-03T00:00:00,1979-11-26T00:00:00,1979-11-26T00:00:00,1995-12-03T00:00:00,2015-05-17T21:18:19.387,,Tavannes (BE),1928-03-04T00:00:00,
4,8,FR,,8,2008,false,Rosmarie,Bär,f,2,Berne,BE,1,Conseil national,CN,6,Groupe des VERT-E-S,G,1,Membre,1414,Liste libre (BE),LL,,,,,,,,,,,Bär,1987-11-30T00:00:00,1995-12-03T00:00:00,1987-11-30T00:00:00,1987-11-30T00:00:00,1995-12-03T00:00:00,2015-05-17T21:18:19.387,,"Siselen (BE),Richterswil (ZH)",1947-12-01T00:00:00,
5,9,FR,,9,2268,false,Ruedi,Baumann,m,2,Berne,BE,1,Conseil national,CN,6,Groupe des VERT-E-S,G,1,Membre,20,Les VERT-E-S suisses,VERT-E-S,,,,,Suisse,Suberg,,"Gemeinderat Grossaffoltern von 1982 bis 1986, Grossrat Bern von 1986 bis 1991",Präsident der Grünen Partei der Schweiz,Stiftungsrat Greina-Stiftung,Baumann Ruedi,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,2018-10-05T13:26:57.663,,Wileroltigen (BE),1947-11-11T00:00:00,
6,10,FR,,10,2269,false,Peter,Baumberger,m,1,Zurich,ZH,1,Conseil national,CN,3,Le Groupe du Centre. Le Centre. PEV.,M-E,1,Membre,,,,11,Capitaine,,,Suisse,Winterthur,,Gemeinde-Legislative von 1974 bis 1986,,,Baumberger Peter,1995-12-04T00:00:00,1999-12-05T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,1999-12-05T00:00:00,2019-09-11T15:41:13.11,,"Winterthur (ZH),Balterswil (TG)",1942-09-03T00:00:00,2019-09-07T00:00:00
7,11,FR,,11,2011,false,Ursula,Bäumlin,f,2,Berne,BE,1,Conseil national,CN,2,Groupe socialiste,S,1,Membre,12,Parti socialiste suisse,PSS,,,,,Suisse,Berne,,Gemeinde-Legislative von 1984 bis 1987,EKF,,Bäumlin Ursula,1995-12-04T00:00:00,1998-12-15T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,1998-12-15T00:00:00,2018-10-05T13:27:25.713,,"Bonau (TG),Berne (BE),Zurich (ZH)",1938-05-12T00:00:00,
8,12,FR,,12,2335,false,Christine,Beerli,f,2,Berne,BE,2,Conseil des Etats,CE,1,Groupe libéral-radical,RL,1,Membre,15,PLR.Les Libéraux-Radicaux,PLR,,,,,Suisse,Bienne,,"Grossrat Bern von 1986 bis 1991, Stadtrat Biel von 1980 bis 1983",,,Beerli,2002-11-25T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,2018-10-05T13:27:40.837,,"Thal (SG),Bienne (BE)",1953-03-26T00:00:00,
9,13,FR,,13,2202,false,Thierry,Béguin,m,24,Neuchâtel,NE,2,Conseil des Etats,CE,1,Groupe libéral-radical,RL,1,Membre,15,PLR.Les Libéraux-Radicaux,PLR,2,Appointé,,,Suisse,La Chaux-de-Fonds,,Conseil général de 1976 à 1988,,,Béguin Thierry,1995-12-04T00:00:00,1999-12-05T00:00:00,1987-11-30T00:00:00,1987-11-30T00:00:00,1999-12-05T00:00:00,2018-10-05T13:27:55.013,,Rochefort (NE),1947-12-02T00:00:00,
