,ID,Language,PersonNumber,PersonIdCode,Title,TitleText,LastName,GenderAsString,DateOfBirth,DateOfDeath,MaritalStatus,MaritalStatusText,PlaceOfBirthCity,PlaceOfBirthCanton,Modified,FirstName,OfficialName,MilitaryRank,MilitaryRankText,NativeLanguage,NumberOfChildren
0,1,FR,1,2200,,,Aguet,m,1938-03-02T00:00:00,,,,Pompaples,Vaud,2018-10-05T13:20:48.477,Pierre,Aguet,5,Fourrier,F,
1,2,FR,2,2002,,,Allenspach,m,1928-02-22T00:00:00,2022-09-16T00:00:00,,,,,2022-09-23T14:20:47.21,Heinz,Allenspach,,,D,
2,6,FR,6,2004,9,dipl. Bauing. HTL,Aregger,m,1931-01-27T00:00:00,,,,Hasle,Lucerne,2018-10-05T13:22:33.513,Manfred,Aregger,7,Adjudant sous-officier,D,
3,7,FR,7,2005,,,Aubry,f,1928-03-04T00:00:00,,,,,,2015-05-17T21:18:19.387,Geneviève,Aubry Geneviève,,,F,
4,8,FR,8,2008,,,Bär,f,1947-12-01T00:00:00,,,,,,2015-05-17T21:18:19.387,Rosmarie,Bär,,,D,
5,9,FR,9,2268,10,dipl. Ing. Agr. ETH,Baumann,m,1947-11-11T00:00:00,,,,Suberg,Berne,2018-10-05T13:26:57.663,Ruedi,Baumann Ruedi,,,D,
6,10,FR,10,2269,6,Dr. iur.,Baumberger,m,1942-09-03T00:00:00,2019-09-07T00:00:00,,,Winterthur,Zurich,2019-09-11T15:41:13.11,Peter,Baumberger Peter,11,Capitaine,D,
7,11,FR,11,2011,12,lic. phil. I,Bäumlin,f,1938-05-12T00:00:00,,,,Berne,Berne,2018-10-05T13:27:25.713,Ursula,Bäumlin Ursula,,,D,
8,12,FR,12,2335,115,lic. iur.,Beerli,f,1953-03-26T00:00:00,,,,Bienne,Berne,2018-10-05T13:27:40.837,Christine,Beerli,,,D,
9,13,FR,13,2202,3,lic. en droit,Béguin,m,1947-12-02T00:00:00,,,,La Chaux-de-Fonds,Neuchâtel,2018-10-05T13:27:55.013,Thierry,Béguin Thierry,2,Appointé,F,
10,14,FR,14,2264,162,dipl. Arch. FH/STV,Bezzola,m,1942-06-23T00:00:00,,,,Scuol,Grisons,2018-10-05T13:29:04.63,Duri,Bezzola Duri,14,Colonel,D,
11,15,FR,15,2270,155,dipl. Landwirt,Binder,m,1947-11-26T00:00:00,,,,Illnau-Effretikon,Zurich,2018-10-05T13:29:51.533,Max,Binder,35,--,D,
12,16,FR,16,2260,,,Bircher,m,1939-06-01T00:00:00,,,,Wölflinswil,Argovie,2018-10-05T13:30:00.457,Peter,Bircher Peter,1,Soldat,D,
13,17,FR,17,2015,,,Bircher,m,1945-09-25T00:00:00,,,,,,2015-05-17T21:18:19.387,Silvio,Bircher Silvio,,,,
14,18,FR,18,2271,,,Bischof,m,1957-07-30T00:00:00,,,,,,2015-05-17T21:18:19.387,Hardi,Bischof Hardi,,,D,
15,19,FR,19,2336,43,dipl. Arch. ETH,Bisig,m,1942-04-27T00:00:00,,,,Lachen,Schwyz,2018-10-05T13:30:11.013,Hans,Bisig,10,Premier-lieutenant,D,
16,20,FR,20,2016,,,Blatter,m,1940-12-29T00:00:00,1995-04-20T00:00:00,,,,,2015-05-17T21:18:19.387,Ulrich,Blatter,,,,
17,21,FR,21,2017,6,Dr. iur.,Blocher,m,1940-10-11T00:00:00,,,,Laufen am Rheinfall,Zurich,2018-10-05T13:30:34.6,Christoph,Blocher,14,Colonel,D,
18,22,FR,22,2337,95,dipl. Bauing. ETH,Bloetzer,m,1933-09-16T00:00:00,2018-10-11T00:00:00,,,Brigue,Valais,2018-10-23T10:29:51.85,Peter,Bloetzer,14,Colonel,D,
19,23,FR,23,2018,,,Bodenmann,m,1952-03-30T00:00:00,,,,,,2015-05-17T21:18:19.387,Peter,Bodenmann Peter,,,,
20,24,FR,24,2019,115,lic. iur.,Bonny,m,1931-06-20T00:00:00,,,,Berne,Berne,2018-10-05T13:31:32.16,Jean-Pierre,Bonny,,,D,
21,25,FR,25,2021,,,Borel,m,1948-12-01T00:00:00,,,,Neuchâtel,Neuchâtel,2018-10-05T13:31:43.027,François,Borel François,,,F,
22,26,FR,26,2272,,,Borer,m,1951-01-27T00:00:00,,,,Soleure,Soleure,2015-05-17T21:18:19.387,Roland F.,Borer,12,Major,D,
23,27,FR,27,2273,,,Borradori,m,1959-06-06T00:00:00,2021-08-11T00:00:00,,,,,2021-08-16T10:29:12.8,Marco,Borradori,,,I,
24,28,FR,28,2274,,,Bortoluzzi,m,1947-02-16T00:00:00,,,,Affoltern am Albis,Zurich,2018-10-05T13:31:57.463,Toni,Bortoluzzi,,,D,
25,29,FR,29,2025,,,Brügger,m,1938-07-10T00:00:00,,,,,,2015-05-17T21:18:19.387,Cyrill,Brügger Cyrill,,,,
26,30,FR,30,2275,3,lic. en droit,Brunner,f,1947-03-23T00:00:00,,,,Genève 8,Genève,2018-10-05T13:35:40.507,Christiane,Brunner Christiane,,,F,
27,31,FR,31,2250,,,Bühler,m,1928-09-21T00:00:00,,,,,,2015-05-17T21:18:19.387,Robert,Bühler Robert,,,D,
28,32,FR,32,2026,,,Bühler,m,1942-03-10T00:00:00,,,,,,2015-05-17T21:18:19.387,Simeon,Bühler Simeon,,,,
29,33,FR,33,2276,,,Bühlmann,f,1949-12-03T00:00:00,,,,Sempach,Lucerne,2015-05-17T21:18:19.387,Cécile,Bühlmann Cécile,,,D,
30,34,FR,34,2277,17,lic. oec. publ.,Bührer,m,1948-06-23T00:00:00,,,,Hofen,Schaffhouse,2018-10-05T13:36:21.187,Gerold,Bührer Gerold,11,Capitaine,D,
31,35,FR,35,2027,,,Bundi,m,1932-10-19T00:00:00,2020-01-01T00:00:00,,,,,2020-01-07T08:58:49.977,Martin,Bundi,,,D,
32,36,FR,36,2029,,,Bürgi,m,1934-09-06T00:00:00,,,,,,2015-05-17T21:18:19.387,Jakob,Bürgi Jakob,,,D,
33,37,FR,37,2030,156,dipl. Naturwissenschafter,Büttiker,m,1950-06-27T00:00:00,,,,Wolfwil,Soleure,2018-10-05T13:38:58.61,Rolf,Büttiker,,,D,
34,38,FR,38,2031,84,Dr. sc. te.,Caccia,m,1942-01-03T00:00:00,,,,Cadenazzo,Tessin,2018-10-05T13:39:06.85,Fulvio,Caccia,,,I,
35,39,FR,39,2032,,,Carobbio,m,1936-11-10T00:00:00,,,,Mendrisio,Tessin,2018-10-05T13:39:56.863,Werner,Carobbio,,,I,
36,40,FR,40,2279,,,Caspar-Hutter,f,1949-12-03T00:00:00,,,,,,2015-05-17T21:18:19.387,Elisabeth,Caspar-Hutter,,,,
37,41,FR,41,2204,35,lic. ès lettres,Cavadini,m,1936-07-27T00:00:00,2013-01-09T00:00:00,,,Neuchâtel,Neuchâtel,2015-05-17T21:18:19.387,Jean,Cavadini Jean,3,Caporal,F,
