,ID,Language,IdSubject,VoteId,PersonNumber,Type,Text,MeetingCouncilAbbreviation,MeetingDate,MeetingVerbalixOid,IdSession,SpeakerFirstName,SpeakerLastName,SpeakerFullName,SpeakerFunction,CouncilId,CouncilName,CantonId,CantonName,CantonAbbreviation,ParlGroupName,ParlGroupAbbreviation,SortOrder,Start,End,Function,DisplaySpeaker,LanguageOfText,Modified,StartTimeWithTimezone,EndTimeWithTimezone,VoteBusinessNumber,VoteBusinessShortNumber,VoteBusinessTitle
0,1,FR,1,,498,1,"<pd_text><p>La séance d'aujourd'hui s'ouvre sous le signe de deux hasards dont la conjonction est tout à fait remarquable. Un pur hasard du calendrier veut que nous nous réunissions sept ans, jour pour jour, après que le peuple suisse ait décidé de ne pas adhérer à l'Espace économique européen. Sept ans plus tard, la campagne électorale fut centrée sur le même problème, qui n'a manifestement pas reçu une solution acceptable pour tous, tant l'opinion semble partagée à cet égard. Un second hasard, d'ordre purement biologique, fait que le doyen d'âge de cette Assemblée, président provisoire de cette séance, se trouve être un Suisse naturalisé de fraîche date. Par une ironie supplémentaire, il est même natif de Bruxelles. <i>(Applaudissements)</i> Existe-t-il un autre pays que la Suisse où le Parlement est présidé par un travailleur immigré? La coïncidence de ces deux hasards démontre à la fois que la Suisse n'est pas xénophobe, comme l'ont laissé entendre certains commentaires superficiels, mais qu'elle n'est pas pour autant disposée à sacrifier sa tradition politique dans un élan irréfléchi.</p>
<p>Cependant, deux symboles, deux hasards apparemment contradictoires ne s'annulent pas mutuellement. Ils ne deviennent pas insignifiants, mais ils définissent au contraire un paradoxe, c'est-à-dire la manifestation d'une vérité cachée, tellement contraire à nos préjugés, que nous ne parvenons ni à l'admettre ni même à la concevoir. Quelle est cette vérité? La Suisse ne parvient pas à se situer par rapport à l'Europe, qu'elle ne peut ni épouser ni récuser. L'Union européenne constitue-t-elle une menace pour nos libertés, notre fédéralisme, notre neutralité? Ou bien au contraire pourrait-elle nous protéger dans la dure compétition mondiale? Pourquoi avons-nous peur de répondre à ces questions?</p>
<p>Jamais la Suisse n'a été plus prospère, plus paisible et moins menacée par un ennemi extérieur. Si l'on considère des indicateurs objectifs comme le pouvoir d'achat, l'espérance de vie, le taux de chômage, la qualité de la formation, les réussites de la recherche scientifique, nous serions bien malvenus de nous plaindre. Nous sommes les enfants gâtés de la planète. Néanmoins, cette paix et cette prospérité n'empêchent pas que les citoyens suisses soient agités par des inquiétudes aussi imprécises que multiples. La paix et la démocratie ne semblent plus aussi assurées qu'on le croyait. Les évènements des Balkans nous rappellent que le combat pour ces valeurs ne doit jamais cesser. Même s'il a gardé son emploi, tout travailleur sait désormais que celui-ci peut être supprimé par des décideurs anonymes. ""Fusion"", ""reconversion"", ""délocalisation"", ""rationalisation"", autant de mots savants qui cachent de tristes et sordides réalités. La solidarité sociale s'effrite, l'assurance-maladie coûte de plus en plus cher au fur et à mesure que les techniques médicales progressent et que l'espérance de vie croît. L'AVS est menacée par le déséquilibre de générations en voie de diminution, faute de naissances en nombre suffisant. Les familles sont menacées par la dislocation des couples et par le fossé entre les générations. Nous craignons aussi pour l'environnement. Nous nous sentons menacés dans notre santé.</p>
<p>Toutes ces craintes, un peu disparates, peuvent néanmoins être reliées à une seule cause: nous sommes emportés par [PAGE 2370] un mouvement planétaire d'évolution technique qu'il est impossible d'arrêter ou de contrôler, la mondialisation pour lui donner enfin son nom. Nous entrons dans un monde de compétition où les conflits ne se règlent plus sur les champs de bataille, mais à la bourse et dans les conseils d'administration. La puissance dominante de la planète impose ses vues commerciales et sa culture audiovisuelle. Et le pouvoir politique paraît de plus en plus faible et désarmé face au pouvoir économique.</p>
<p>Grande est alors la tentation de se refermer sur soi et de cultiver un passé qui paraît toujours plus rassurant après qu'il ait été vécu qu'avant de le vivre. L'introversion politique nie la réalité extérieure tant celle-ci semble menaçante. Comment surmonter cette peur de l'avenir, sinon en s'écartant du fantasme et en affrontant la réalité? Nous n'arrêterons certainement pas la mondialisation en continuant de croire qu'elle n'existe pas ou qu'elle ne nous concerne pas. A titre d'exemple, pour résister à la déferlante de la mondialisation, ne faudrait-il pas s'unir à nos voisins? Le bon sens semble l'indiquer et l'actualité le démontrer. L'introduction de l'euro a vraiment mis un terme à la spéculation sur les monnaies nationales. En revanche, l'isolement de la Suisse l'a rendue vulnérable à des décisions, des pressions, des chantages dont ses intérêts ont réellement pâti.</p>
<p>Défendre l'indépendance ne se conçoit pas sans reconnaître l'interdépendance avec ses voisins. Tout l'art du fédéralisme helvétique consiste à déléguer un minimum de souveraineté afin de mieux préserver une véritable autonomie. Il a bien fallu que les villages et les villes s'unissent jadis au sein des cantons et que ceux-ci, à leur tour, se rassemblent en une Confédération pour résister aux dangers extérieurs. Tel est l'objet du serment du Grütli, car à vouloir tout garder, on risque de tout perdre. Il ne faut pas agir comme ces avares qui se font voler leur magot parce qu'ils l'ont caché sous leur matelas, tant ils avaient peur de le déposer à la banque.</p>
<p>Le travail de cette législature pourrait consister à rallier le plus grand nombre autour d'un projet réaliste et pragmatique d'ouverture sur le monde. Tentons de l'esquisser.</p>
<p>Par la géographie, la culture et l'histoire, la Suisse constitue le coeur même d'un continent, qui devient un seul pays, mais un pays affecté par une déchirure béante en son sein. Que serait la Suisse sans, par exemple, le canton de Lucerne?</p>
<p>L'Europe se construit donc en dehors de la Suisse, mais en s'inspirant du modèle suisse. Le fédéralisme et le principe de subsidiarité n'expriment-ils pas le même souci de ne pas centraliser sans nécessité? Bien loin de nourrir un appétit de conquête, l'Union européenne n'accepte que des adhésions librement consenties par les deux parties: son projet est pacifique et neutre. La rigueur budgétaire et le réalisme économique visent à assurer la tranquillité et la prospérité des citoyens. Il n'est rien dans les valeurs défendues par l'Europe qui se distingue des valeurs que, les premiers, nous avons découvertes au fil de sept siècles, mais que nous ne reconnaissons plus depuis sept années.</p>
<p>Si l'Union européenne vise la construction d'une sorte de Confédération helvétique élargie aux dimensions d'un continent, ne faudrait-il pas que les inventeurs travaillent à prefectionner leur invention, dès lors que celle-ci réussit au-delà même des plus folles espérances? Nos fonctionnaires, nos politiciens, nos parlementaires ne sont-ils pas les plus qualifiés au monde pour animer  une construction politique où coexistent Germains et Latins?</p>
<p>Natürlich werden wir nie einem ""Europa von früher"" beitreten, einem Europa der Kontinentalkriege, der Kolonialmächte und des Wirtschaftsimperialismus oder einem Europa der allmächtigen Staatsapparate und der Unterdrückungsideologien. Wir haben alles getan, um ein Beispiel vom Gegenteil zu geben. Ist es nicht möglich, dass sich die Schweiz nun Europa anschliesst, nachdem sich Europa der Schweiz angeschlossen hat? Wir brauchen nicht weit zu gehen, um denen zu begegnen, die sich auf unserem Weg befinden. Die Schweiz - unersetzlich, inspiriert, ein Prototyp der Geschichte - hat die Zukunft Europas ersonnen. Machen wir uns auf den Weg in diese Zukunft! Gehen wir diesen Weg, ohne zu hasten, aber gehen wir diesen Weg auch, ohne unnötig zu zaudern!</p>
<p>Wovor fürchten wir uns, ausser vor unserem Schatten, der wie ein gigantisches, überdimensionales Abbild von uns selbst an der Wand prangt? Vor einer Schweiz mit kontinentalen Ausmassen? Darob schwindelt uns. Doch eine Schweiz, die sich fürchtet, gleicht einem Vater, der seinen Sohn beneidet, weil er so erfolgreich geworden ist.</p>
<p>Fragen wir uns nie, was Europa für uns tun kann, aber fragen wir uns stets, was wir für Europa tun können! Im 21. Jahrhundert wird Europa schweizerisch sein oder nicht sein.</p>
<p>Non dobbiamo domandarci mai cosa può fare l'Europa per noi, ma dobbiamo domandarci cosa possiamo fare noi per l'Europa. Nel XXIo secolo l'Europa sarà elvetica o non sarà. <i>(Applauso)</i></p>
</pd_text>",N,19991206,637,4601,Jacques,Neirynck,Neirynck Jacques,AP-M,1,Conseil national,22,Vaud,VD,Groupe démocrate-chrétien,C,3,1999-12-06T14:36:50.007,1999-12-06T14:50:21.663,,true,FR,2017-11-16T16:47:12.763,1999-12-06T14:36:50.007+01:00,1999-12-06T14:50:21.663+01:00,,,
1,2,FR,1,,,3,"<pd_text><p>[VS]</p>
<p><i>Musiker des Schweizer Jugend-Sinfonie-Orchesters</i></p>
<p><i>Musiciens de l'Orchestre Symphonique Suisse des Jeunes</i></p>
<p>[VS]</p>
<p><b>Antonio Vivaldi (1678-1741)</b></p>
<p>[VS]</p>
<p><i>Konzert C-Dur für zwei Trompeten und Streicher (Allegro)</i></p>
<p><i>Concerto en ut majeur pour deux trompettes et cordes (Allegro)</i></p>
</pd_text>",N,19991206,637,4601,,,,,,,,,,,,2,1999-12-06T14:33:39.803,1999-12-06T14:36:50.007,,,DE,2017-11-16T16:47:12.747,1999-12-06T14:33:39.803+01:00,1999-12-06T14:36:50.007+01:00,,,
2,3,FR,1,,498,1,"<pd_text><p>Madame la Présidente de la Confédération, </p>
<p>Sehr geehrte Frau Bundesrätin,</p>
<p>Sehr geehrte Herren Bundesräte,</p>
<p>Sehr geehrter Herr Vizepräsident,</p>
<p>Monsieur le Chancelier,</p>
<p>Geschätzte Kolleginnen und Kollegen,</p>
<p>Chers collègues,</p>
<p>Je déclare ouverte la première séance de la 46e législature.</p>
</pd_text>",N,19991206,637,4601,Jacques,Neirynck,Neirynck Jacques,AP-M,1,Conseil national,22,Vaud,VD,Groupe démocrate-chrétien,C,1,1999-12-06T14:32:24.303,1999-12-06T14:33:39.803,,true,FR,2017-11-16T16:47:12.747,1999-12-06T14:32:24.303+01:00,1999-12-06T14:33:39.803+01:00,,,
3,8,FR,2,,,3,"<pd_text><p>[VS]</p>
<p><b>Wahl der zweiten Vizepräsidentin des Nationalrates für 1999/2000</b></p>
<p><b>Election de la deuxième vice-présidente du Conseil national pour 1999/2000</b></p>
<p>[VS]</p>
<p><b>Präsident</b> (Seiler Hanspeter, Präsident): Die sozialdemokratische Fraktion, unterstützt von der freisinnig-demokratischen, der SVP-, der christlichdemokratischen, der evangelischen und unabhängigen Fraktion, schlägt Ihnen Frau Maury Pasquier vor.</p>
<p>[VS]</p>
<p><i>Ergebnis der Wahl - Résultat du scrutin</i></p>
<p>Ausgeteilte Wahlzettel - Bulletins délivrés .... 176</p>
<p>eingelangt - rentrés .... 176</p>
<p>leer - blancs .... 16</p>
<p>ungültig - nuls .... 1</p>
<p>gültig - valables .... 159</p>
<p>absolutes Mehr - Majorité absolue .... 80</p>
<p>[VS]</p>
<p><i>Es wird gewählt - Est élue</i></p>
<p>Maury Pasquier Liliane .... mit 130 Stimmen</p>
<p>[VS]</p>
<p><i>Ferner haben Stimmen erhalten - Ont en outre obtenu des voix</i></p>
<p>Zapfl Rosmarie .... 12</p>
<p>Verschiedene - Divers .... 17</p>
<p>[VS]</p>
<p><b>Präsident</b> (Seiler Hanspeter, Präsident): Ich gratuliere Frau Maury Pasquier zu ihrer guten Wahl. <i>(Beifall)</i></p>
<p>[VS]</p>
<p>[VS]</p>
<p><b>Wahl der vier Stimmenzähler und der vier Ersatzstimmenzähler</b></p>
<p><b>Election des quatre scrutateurs et des quatre scrutateurs suppléants</b></p>
<p>[VS]</p>
<p><b>Präsident</b> (Seiler Hanspeter, Präsident): Wir kommen zur Wahl der Stimmenzähler und der Ersatzstimmenzähler. Die Wahlvorschläge sind Ihnen ausgeteilt worden. Es findet eine Listenwahl statt. Die vier ersten Namen betreffen die Stimmenzähler, die vier weiteren Namen die Ersatzstimmenzähler.</p>
<p>[VS]</p>
<p><i>Ergebnis der Wahl - Résultat du scrutin</i></p>
<p>Ausgeteilte Wahlzettel - Bulletins délivrés .... 156</p>
<p>eingelangt - rentrés .... 154</p>
<p>leer - blancs .... 0</p>
<p>ungültig - nuls .... 0</p>
<p>gültig - valables .... 154</p>
<p>absolutes Mehr - Majorité absolue .... 78</p>
<p>[PAGE 2376] [VS]</p>
<p>Es werden gewählt - Sont élus</p>
<p>[VS]</p>
<p><i>Stimmenzähler - Scrutateurs</i></p>
<p>Binder Max .... mit 140 Stimmen</p>
<p>Günter Paul .... mit 131 Stimmen</p>
<p>Lauper Hubert .... mit 150 Stimmen</p>
<p>Tschuppert Karl .... mit 141 Stimmen</p>
<p>[VS]</p>
<p><i>Ersatzstimmenzähler - Scrutateurs suppléants</i></p>
<p>Galli Remo .... mit 147 Stimmen</p>
<p>Schmied Walter .... mit 141 Stimmen</p>
<p>Tillmanns Pierre .... mit 141 Stimmen</p>
<p>Wittenwiler Milli .... mit 151 Stimmen</p>
<p>[VS]</p>
<p><b>Präsident </b>(Seiler Hanspeter, Präsident): Ich gratuliere den Gewählten zu ihrer Wahl. <i>(Beifall)</i></p>
</pd_text>",N,19991206,637,4601,,,,,,,,,,,,13,,,,,DE,2017-11-16T16:47:12.793,,,,,
4,10,FR,2,,,3,"<pd_text><p>[VS]</p>
<p><b>Wahl des Präsidenten des Nationalrates für 1999/2000</b></p>
<p><b>Election du président du Conseil national pour 1999/2000</b></p>
</pd_text>",N,19991206,637,4601,,,,,,,,,,,,1,,,,,DE,2017-11-16T16:47:12.777,,,,,
5,11,FR,2,,498,1,"<pd_text><p>Nous passons à l'élection du président du Conseil national pour l'année 1999/2000. Les groupes UDC, radical-démocratique, socialiste, démocrate-chrétien ainsi que évangélique et indépendant proposent d'élire l'actuel vice-président, M. Hanspeter Seiler.</p>
</pd_text>",N,19991206,637,4601,Jacques,Neirynck,Neirynck Jacques,AP-M,1,Conseil national,22,Vaud,VD,Groupe démocrate-chrétien,C,2,1999-12-06T15:19:03.867,1999-12-06T15:19:52.32,,true,FR,2017-11-16T16:47:12.777,1999-12-06T15:19:03.867+01:00,1999-12-06T15:19:52.32+01:00,,,
6,12,FR,2,,497,1,"<pd_text><p>Il semble acquis qu'une majorité du Conseil national élira comme président de notre Conseil M. Hanspeter Seiler, membre de l'UDC. <i>(Applaudissements)</i></p>
<p>Il semble également acquis que le 15 décembre 1999, à moins que l'annonce de la candidature de M. Blocher ne bouscule les choses, un autre UDC, M. Adolf Ogi, deviendra président de la Confédération. Je ne connais pas M. Seiler, et je sais que M. Ogi n'est ni xénophobe ni raciste. Il n'en demeure pas moins que ces deux hommes représentent un parti qui utilise la xénophobie comme arme politique. Le symbole sera puissant et perçu en particulier à l'étranger comme l'écho de la réalité helvétique, alors que nous soutenons une Suisse ouverte au monde et solidaire. Lorsque j'entends des représentants de la droite, et non des moindres, déclarer aujourd'hui qu'il faut aller encore plus dans le sens de l'UDC, je me dis avec une inquiétude profonde que cette élection de deux présidents UDC, si elle se fait, reflétera bel et bien l'état d'esprit politique et moral d'une proportion importante des élus de ce pays. Mais rien n'est encore fait et, aujourd'hui, une majorité d'entre nous peut décider que la Suisse mérite mieux que d'avoir à la tête de son Parlement et de son Gouvernement deux représentants d'un parti xénophobe.</p>
<p>En tous les cas, les Verts ne soutiendront pas un représentant de l'UDC.</p>
<p>[PAGE 2374] </p>
</pd_text>",N,19991206,637,4601,Patrice,Mugny,Mugny Patrice,,1,Conseil national,25,Genève,GE,Groupe écologiste,G,3,1999-12-06T15:19:52.32,1999-12-06T15:23:17.337,,true,FR,2017-11-16T16:47:12.777,1999-12-06T15:19:52.32+01:00,1999-12-06T15:23:17.337+01:00,,,
7,13,FR,2,,241,1,"<pd_text><p>Ainsi donc, la rotation immuable des présidences voudrait que cette année, nous élisions un président issu du groupe de l'Union démocratique du centre de notre Parlement. Tout d'abord, je voudrais, Monsieur le Vice-président Hanspeter Seiler, vous dire que les propos que je vais tenir ne s'adressent pas à vous personnellement. J'ai déjà siégé quelques années avec vous et ce ne sont pas vos qualités intrinsèques qui sont mises en cause. La seule question qui nous importe aujourd'hui et qui se pose publiquement, devant notre peuple et devant l'opinion publique internationale: est-ce que nous pouvons, moralement et politiquement, élire en cette période, cette année, un président UDC, un président issu d'une formation politique qui veut casser le pays, détruire sa politique humanitaire, assurer la puissance des plus riches tout en marginalisant les plus démunis de la société? Un parti qui veut porter au pouvoir un homme qui représente les pires cauchemars de notre pays et de ce siècle? Je parle de la xénophobie, de l'autoritarisme politique et de la barbarie sociale.</p>
<p>Notre pays a déjà l'extrême-droite la plus puissante d'Europe, et qui irrigue déjà la politique fédérale et l'administration fédérale. Aujourd'hui, je le dis tout net: ce serait une honte pour notre pays de porter à la présidence de la Chambre du peuple un homme issu de cette tendance.</p>
<p>Monsieur Hanspeter Seiler, je vous demande de vous retirer de la course à cette présidence. Vous allez être un élément de division. Le mieux serait que vous laissiez passer votre tour. Le pays vous en serait reconnaissant.</p>
</pd_text>",N,19991206,637,4601,Josef,Zisyadis,Zisyadis Josef,,1,Conseil national,22,Vaud,VD,Non inscrit,-,4,1999-12-06T15:23:17.337,1999-12-06T15:26:02.85,,true,FR,2017-11-16T16:47:12.777,1999-12-06T15:23:17.337+01:00,1999-12-06T15:26:02.85+01:00,,,
8,14,FR,2,,193,1,"<pd_text><p>Vous venez de recevoir une feuille verte qui donne la liste des groupes qui soutiennent la candidature de M. Seiler Hanspeter. Après ce que nous venons d'entendre, je vous demande d'y ajouter le nom du groupe libéral. <i>(Applaudissements)</i></p>
</pd_text>",N,19991206,637,4601,Rémy,Scheurer,Scheurer Rémy,,1,Conseil national,24,Neuchâtel,NE,Groupe libéral,L,5,1999-12-06T15:26:02.85,1999-12-06T15:26:40.757,,true,FR,2017-11-16T16:47:12.777,1999-12-06T15:26:02.85+01:00,1999-12-06T15:26:40.757+01:00,,,
9,15,FR,2,,498,1,"<pd_text><p>Je prie les scrutateurs du Bureau provisoire de distribuer les bulletins.</p>
</pd_text>",N,19991206,637,4601,Jacques,Neirynck,Neirynck Jacques,AP-M,1,Conseil national,22,Vaud,VD,Groupe démocrate-chrétien,C,6,1999-12-06T15:26:40.757,1999-12-06T15:26:59.647,,true,FR,2017-11-16T16:47:12.777,1999-12-06T15:26:40.757+01:00,1999-12-06T15:26:59.647+01:00,,,
